iter	Passed	Remaining
559	6640	4031
560	6658	4023
561	6679	4017
562	6693	4006
563	6719	4003
564	6732	3992
565	6746	3981
566	6776	3980
567	6789	3968
568	6804	3958
569	6816	3946
570	6840	3941
571	6859	3933
572	6875	3923
573	6884	3910
574	6894	3896
575	6903	3883
576	6912	3869
577	6921	3856
578	6931	3842
579	6940	3829
580	6949	3815
581	6958	3802
582	6971	3790
583	6990	3782
584	6999	3769
585	7008	3755
586	7019	3742
587	7028	3729
588	7037	3715
589	7046	3702
590	7056	3689
591	7064	3675
592	7081	3665
593	7092	3653
594	7101	3640
595	7110	3626
596	7121	3614
597	7130	3601
598	7140	3587
599	7149	3574
600	7158	3561
601	7168	3548
602	7177	3535
603	7186	3521
604	7196	3508
605	7206	3496
606	7215	3482
607	7226	3470
608	7244	3461
609	7264	3453
610	7286	3446
611	7305	3437
612	7324	3429
613	7339	3418
614	7352	3407
615	7361	3393
616	7378	3384
617	7388	3371
618	7401	3360
619	7423	3352
620	7438	3341
621	7450	3329
622	7466	3319
623	7475	3306
624	7485	3293
625	7495	3280
626	7505	3268
627	7527	3260
628	7537	3247
629	7549	3235
630	7568	3226
631	7577	3213
632	7587	3200
633	7596	3187
634	7608	3175
635	7624	3164
636	7635	3152
637	7644	3139
638	7657	3127
639	7666	3114
640	7676	3101
641	7685	3088
642	7694	3075
643	7704	3062
644	7715	3050
645	7734	3041
646	7753	3032
647	7771	3022
648	7783	3010
649	7794	2997
650	7804	2985
651	7813	2971
652	7822	2959
653	7831	2945
654	7841	2932
655	7849	2919
656	7859	2906
657	7868	2893
658	7877	2880
659	7886	2867
660	7896	2855
661	7906	2842
662	7915	2829
663	7925	2816
664	7934	2803
665	7944	2791
666	7955	2778
667	7977	2770
668	8002	2763
669	8023	2754
670	8033	2741
671	8045	2729
672	8055	2716
673	8064	2704
674	8073	2691
675	8083	2678
676	8092	2665
677	8102	2652
678	8111	2640
679	8120	2627
680	8130	2614
681	8140	2602
682	8149	2589
683	8158	2576
684	8167	2563
685	8179	2551
686	8193	2540
687	8203	2527
688	8212	2514
689	8221	2502
690	8231	2489
691	8241	2477
692	8250	2464
693	8260	2451
694	8271	2439
695	8282	2427
696	8296	2416
697	8315	2406
698	8324	2393
699	8334	2381
700	8345	2369
701	8355	2356
702	8366	2344
703	8375	2331
704	8384	2319
705	8393	2306
706	8402	2293
707	8411	2281
708	8420	2268
709	8430	2256
710	8439	2243
711	8448	2230
712	8457	2218
713	8466	2205
714	8478	2193
715	8487	2181
716	8497	2168
717	8506	2156
718	8515	2143
719	8524	2131
720	8534	2118
721	8546	2107
722	8561	2096
723	8587	2087
724	8615	2079
725	8626	2067
726	8641	2056
727	8650	2043
728	8659	2031
729	8669	2018
730	8678	2006
731	8688	1994
732	8697	1981
733	8707	1969
734	8722	1958
735	8741	1947
736	8754	1936
737	8775	1926
738	8786	1914
739	8798	1902
740	8808	1890
741	8817	1877
742	8826	1865
743	8837	1853
744	8848	1840
745	8859	1828
746	8871	1816
747	8894	1807
748	8925	1799
749	8945	1789
750	8961	1777
751	8978	1766
752	9008	1758
753	9033	1749
754	9050	1738
755	9059	1725
756	9068	1713
757	9088	1702
758	9099	1690
759	9109	1678
760	9118	1665
761	9127	1652
762	9136	1640
763	9145	1628
764	9155	1615
765	9164	1603
766	9174	1590
767	9185	1578
768	9195	1566
769	9204	1553
770	9213	1541
771	9222	1529
772	9230	1516
773	9240	1504
774	9249	1491
775	9258	1479
776	9267	1467
777	9275	1454
778	9286	1442
779	9296	1430
780	9305	1417
781	9317	1405
782	9326	1393
783	9335	1381
784	9345	1369
785	9354	1356
786	9363	1344
787	9375	1332
788	9388	1320
789	9397	1308
790	9407	1296
791	9418	1284
792	9427	1272
793	9439	1260
794	9448	1247
795	9458	1235
796	9468	1223
797	9477	1211
798	9486	1199
799	9495	1186
800	9504	1174
801	9512	1162
802	9521	1150
803	9538	1138
804	9551	1127
805	9563	1115
806	9572	1103
807	9581	1090
808	9590	1078
809	9599	1066
810	9611	1054
811	9621	1042
812	9631	1030
813	9641	1018
814	9650	1006
815	9660	994
816	9669	982
817	9678	970
818	9688	958
819	9697	946
820	9707	934
821	9727	923
822	9744	911
823	9771	901
824	9788	889
825	9799	877
826	9816	866
827	9825	854
828	9835	842
829	9844	830
830	9853	818
831	9864	806
832	9874	794
833	9882	782
834	9891	770
835	9900	757
836	9909	745
837	9927	734
838	9935	722
839	9945	710
840	9956	698
841	9965	686
842	9975	674
843	9985	662
844	9994	650
845	10003	638
846	10011	626
847	10028	614
848	10045	603
849	10060	591
850	10069	579
851	10079	567
852	10088	555
853	10098	543
854	10107	531
855	10119	520
856	10128	508
857	10137	496
858	10146	484
859	10156	472
860	10165	460
861	10174	448
862	10183	436
863	10192	424
864	10202	412
865	10217	401
866	10231	389
867	10250	377
868	10266	366
869	10279	354
870	10289	342
871	10298	330
872	10307	318
873	10317	306
874	10326	295
875	10335	283
876	10345	271
877	10354	259
878	10363	247
879	10372	235
880	10382	223
881	10394	212
882	10405	200
883	10416	188
884	10427	176
885	10438	164
886	10447	153
887	10457	141
888	10466	129
889	10475	117
890	10489	105
891	10514	94
892	10536	82
893	10546	70
894	10555	58
895	10565	47
896	10578	35
897	10588	23
898	10597	11
899	10611	0
